year,week,file,name
2008,43,ipgb20081021_wk43.zip,ipgb20081021.xml
2008,44,ipgb20081028_wk44.zip,ipgb20081028.xml
2008,45,ipgb20081104_wk45.zip,ipgb20081104.xml
2008,46,ipgb20081111_wk46.zip,ipgb20081111.xml
2008,47,ipgb20081118_wk47.zip,ipgb20081118.xml
2008,48,ipgb20081125_wk48.zip,ipgb20081125.xml
2008,49,ipgb20081202_wk49.zip,ipgb20081202.xml
2008,50,ipgb20081209_wk50.zip,ipgb20081209.xml
2008,51,ipgb20081216_wk51.zip,ipgb20081216.xml
2008,52,ipgb20081223_wk52.zip,ipgb20081223.xml
2008,53,ipgb20081230_wk53.zip,ipgb20081230.xml
2009,1,ipgb20090106_wk01.zip,ipgb20090106.xml
2009,2,ipgb20090113_wk02.zip,ipgb20090113.xml
2009,3,ipgb20090120_wk03.zip,ipgb20090120.xml
2009,4,ipgb20090127_wk04.zip,ipgb20090127.xml
2009,5,ipgb20090203_wk05.zip,ipgb20090203.xml
2009,6,ipgb20090210_wk06.zip,ipgb20090210.xml
2009,7,ipgb20090217_wk07.zip,ipgb20090217.xml
2009,8,ipgb20090224_wk08.zip,ipgb20090224.xml
2009,9,ipgb20090303_wk09.zip,ipgb20090303.xml
2009,10,ipgb20090310_wk10.zip,ipgb20090310.xml
2009,11,ipgb20090317_wk11.zip,ipgb20090317.xml
2009,12,ipgb20090324_wk12.zip,ipgb20090324.xml
2009,13,ipgb20090331_wk13.zip,ipgb20090331.xml
2009,14,ipgb20090407_wk14.zip,ipgb20090407.xml
2009,15,ipgb20090414_wk15.zip,ipgb20090414.xml
2009,16,ipgb20090421_wk16.zip,ipgb20090421.xml
2009,17,ipgb20090428_wk17.zip,ipgb20090428.xml
2009,18,ipgb20090505_wk18.zip,ipgb20090505.xml
2009,19,ipgb20090512_wk19.zip,ipgb20090512.xml
2009,20,ipgb20090519_wk20.zip,ipgb20090519.xml
2009,21,ipgb20090526_wk21.zip,ipgb20090526.xml
2009,22,ipgb20090602_wk22.zip,ipgb20090602.xml
2009,23,ipgb20090609_wk23.zip,ipgb20090609.xml
2009,24,ipgb20090616_wk24.zip,ipgb20090616.xml
2009,25,ipgb20090623_wk25.zip,ipgb20090623.xml
2009,26,ipgb20090630_wk26.zip,ipgb20090630.xml
2009,27,ipgb20090707_wk27.zip,ipgb20090707.xml
2009,28,ipgb20090714_wk28.zip,ipgb20090714.xml
2009,29,ipgb20090721_wk29.zip,ipgb20090721.xml
2009,30,ipgb20090728_wk30.zip,ipgb20090728.xml
2009,31,ipgb20090804_wk31.zip,ipgb20090804.xml
2009,32,ipgb20090811_wk32.zip,ipgb20090811.xml
2009,33,ipgb20090818_wk33.zip,ipgb20090818.xml
2009,34,ipgb20090825_wk34.zip,ipgb20090825.xml
2009,35,ipgb20090901_wk35.zip,ipgb20090901.xml
2009,36,ipgb20090908_wk36.zip,ipgb20090908.xml
2009,37,ipgb20090915_wk37.zip,ipgb20090915.xml
2009,38,ipgb20090922_wk38.zip,ipgb20090922.xml
2009,39,ipgb20090929_wk39.zip,ipgb20090929.xml
2009,40,ipgb20091006_wk40.zip,ipgb20091006.xml
2009,41,ipgb20091013_wk41.zip,ipgb20091013.xml
2009,42,ipgb20091020_wk42.zip,ipgb20091020.xml
2009,43,ipgb20091027_wk43.zip,ipgb20091027.xml
2009,44,ipgb20091103_wk44.zip,ipgb20091103.xml
2009,45,ipgb20091110_wk45.zip,ipgb20091110.xml
2009,46,ipgb20091117_wk46.zip,ipgb20091117.xml
2009,47,ipgb20091124_wk47.zip,ipgb20091124.xml
2009,48,ipgb20091201_wk48.zip,ipgb20091201.xml
2009,49,ipgb20091208_wk49.zip,ipgb20091208.xml
2009,50,ipgb20091215_wk50.zip,ipgb20091215.xml
2009,51,ipgb20091222_wk51.zip,ipgb20091222.xml
2009,52,ipgb20091229_wk52.zip,ipgb20091229.xml
2010,1,ipgb20100105_wk01.zip,ipgb20100105.xml
2010,2,ipgb20100112_wk02.zip,ipgb20100112.xml
2010,3,ipgb20100119_wk03.zip,ipgb20100119.xml
2010,4,ipgb20100126_wk04.zip,ipgb20100126.xml
2010,5,ipgb20100202_wk05.zip,ipgb20100202.xml
2010,6,ipgb20100209_wk06.zip,ipgb20100209.xml
2010,7,ipgb20100216_wk07.zip,ipgb20100216.xml
2010,8,ipgb20100223_wk08.zip,ipgb20100223.xml
2010,9,ipgb20100302_wk09.zip,ipgb20100302.xml
2010,10,ipgb20100309_wk10.zip,ipgb20100309.xml
2010,11,ipgb20100316_wk11.zip,ipgb20100316.xml
2010,12,ipgb20100323_wk12.zip,ipgb20100323.xml
2010,13,ipgb20100330_wk13.zip,ipgb20100330.xml
2010,14,ipgb20100406_wk14.zip,ipgb20100406.xml
2010,15,ipgb20100413_wk15.zip,ipgb20100413.xml
2010,16,ipgb20100420_wk16.zip,ipgb20100420.xml
2010,17,ipgb20100427_wk17.zip,ipgb20100427.xml
2010,18,ipgb20100504_wk18.zip,ipgb20100504.xml
2010,19,ipgb20100511_wk19.zip,ipgb20100511.xml
2010,20,ipgb20100518_wk20.zip,ipgb20100518.xml
2010,21,ipgb20100525_wk21.zip,ipgb20100525.xml
2010,22,ipgb20100601_wk22.zip,ipgb20100601.xml
2010,23,ipgb20100608_wk23.zip,ipgb20100608.xml
2010,24,ipgb20100615_wk24.zip,ipgb20100615.xml
2010,25,ipgb20100622_wk25.zip,ipgb20100622.xml
2010,26,ipgb20100629_wk26.zip,ipgb20100629.xml
2010,27,ipgb20100706_wk27.zip,ipgb20100706.xml
2010,28,ipgb20100713_wk28.zip,ipgb20100713.xml
